strassenschlüssel,strassenname,stadtteilschlüssel,stadtteilname,stadtviertelschlüssel,stadtviertelname,plz,hausnr_ungerade_von,hausnr_ungerade_bis,hausnr_gerade_von,hausnr_gerade_bis
1648,Jesuitengasse,505,Weidenpesch,50504.0,Merheim (lrh.),50735,0061,0081,0050,0092c
1648,Jesuitengasse,505,Weidenpesch,50504.0,Merheim (lrh.),50737,0099,0139,0106,0148a
1649,Joeststr.,303,Lindenthal,30306.0,Melaten,50935,0001,0009,0002,0006
5813,Johann-Beckschäfer-Str.,714,Zündorf,71402.0,Zündorf-Süd,51143,0001,0015,0002,0006
1650,Johann-Bendel-Str.,901,Mülheim,90103.0,Mülheim,51063,0001,0001,,
1651,Johann-Bensberg-Str.,904,Holweide,90401.0,Holweide-West,51067,0001,0011,0002,0008
1651,Johann-Bensberg-Str.,904,Holweide,90403.0,Siedlung Wichheim,51067,0049,0067,0010,0024
1652,Johann-Brinck-Platz,403,Bickendorf,40303.0,Siedlung Bickendorf,50827,0001,0011,0002,0004
1653,Johann-Brinck-Str.,403,Bickendorf,40303.0,Siedlung Bickendorf,50827,0001,0025,0002,0032
1654,Johann-Bueren-Str.,304,Braunsfeld,30402.0,Baumeister-Viertel,50933,0001,0003,0002a,0002b
1655,Johann-Classen-Str.,802,Kalk,80201.0,Kalk,51103,,,0002,0046
1655,Johann-Classen-Str.,802,Kalk,80204.0,Kalk-Nord,51103,0023,0107,0050,0102
3157,Johann-Degen-Str.,701,Poll,70103.0,Poll-Ost,51105,0001,0017,0002,0014
1656,Johannes-Albers-Str.,604,Heimersdorf,60402.0,Heimersdorf,50767,0001,0075,0002,0056
1657,Johannes-Dech-Str.,506,Longerich,50602.0,Neu-Longerich,50737,0001,0075,0002,0036a
3817,Johannes-Giesberts-Park,501,Nippes, , ,50733,,,,
1658,Johannes-Greferath-Str.,301,Klettenberg,30101.0,Klettenberg,50939,0001,0009,0002,0012
1659,Johannes-Müller-Str.,503,Riehl,50303.0,Zoo-Flora,50735,0001,0065,,
1659,Johannes-Müller-Str.,503,Riehl,50301.0,Riehl,50735,,,0002,0054
4910,Johannes-Prassel-Str.,607,Esch/Auweiler,60701.0,Esch,50765,0003,0159,0004,0120
1660,Johannes-Rings-Str.,506,Longerich,50602.0,Neu-Longerich,50737,,,,
4912,Johannesstr. (Eil),705,Eil,70502.0,Eil,51145,0001,0003,0002,0008
4912,Johannesstr. (Eil),705,Eil,70501.0,Eil-Süd,51145,0005,0013,0010,0020
4911,Johannesstr. (Pesch),606,Pesch,60601.0,Pesch,50767,0003,0033d,0002,0040
1661,Johannes-Stumpf-Str.,903,Buchheim,90302.0,Buchheim,51067,0001,0023,,
5964,Johannes-Theodor-Baargeld-Weg,306,Junkersdorf,30602.0,Stadtwaldsiedlung,50858,,,0002,0048
1662,Johannes-Trojan-Str.,701,Poll,70102.0,Poll,51105,,,0002,0030
1663,Johannesweg,906,Höhenhaus,90603.0,Höhenhaus,51061,0001,0045,0002,0052
4914,Johannesweg (Widdersdorf),309,Widdersdorf,30902.0,Alt-Widdersdorf,50859,0001,0009,0004,0032
1664,Johann-Heinrich-Platz,303,Lindenthal,30303.0,Neu-Lindenthal,50935,0009,0015,0004,0012
1665,Johannisstr.,103,Altstadt/Nord,10308.0,Andreas-Viertel,50667,0011,0011,,
1665,Johannisstr.,103,Altstadt/Nord,10301.0,Kuniberts-Viertel,50668,0043,0079,0004,0088
4915,Johannisstr. (Weiß),209,Weiß,20901.0,Neu-Weiß,50999,0003,0005,0004,0016
1666,Johanniterstr.,903,Buchheim,90302.0,Buchheim,51065,0013,0045,0010,0038
1666,Johanniterstr.,903,Buchheim,90302.0,Buchheim,51067,0047,0129,0040,0058
4917,Johanniterstr. (Godorf),211,Godorf,21101.0,Godorf,50997,0005,0019,0002,0024
4916,Johanniterstr. (Lövenich),308,Lövenich,30804.0,Lövenich-West,50859,,,0002,0046
4916,Johanniterstr. (Lövenich),308,Lövenich,30801.0,Lövenich,50859,0005,0027,,
3785,Johann-Maria-Farina-Str.,504,Niehl,50405.0,GI Emdener Str. ,50735,,,,
1667,Johann-Mayer-Str.,802,Kalk,80201.0,Kalk,51105,0001,0017,0002,0018
4918,Johann-Pullem-Str.,210,Sürth,21001.0,Sürth,50999,0003,0049,0004,0060
6037,Johann-Reintgen-Str.,210,Sürth,21001.0,Sürth,50999,0001,0033,0002,0018
4919,Johann-Strauss-Str.,208,Rodenkirchen,20802.0,Künstler-Viertel,50999,0005,0013,0006,0014
3732,Johann-Thomer-Str.,403,Bickendorf,40302.0,Westend,50827,0001,0007,0002,0010
1668,Josef-Bayer-Str.,501,Nippes,50104.0,Siedlung Florastr.,50733,0001,0011,0002,0012
3556,Josef-Boschbach-Weg,803,Vingst,80302.0,Siedlung Vingst,51107,0001,0001,,
1669,Josef-Esser-Platz,403,Bickendorf,40304.0,Garten-Siedlung,50827,,,0002,0012
1670,Josef-Gockeln-Str.,809,Neubrück,80901.0,Bungalow-Siedlung,51109,0001,0013,0002,0018
3990,Josef-Gödecke-Str.,612,Worringen,61204.0,Neu-Worringen,50769,,,0004,0050
3635,Josef-Hamacher-Platz,404,Vogelsang,40402.0,Siedlung Vogelsang,50829,,,,
1671,Josef-Haubrich-Hof,101,Altstadt/Süd,10103.0,Cäcilien-Viertel,50676,0001,0005,0002,0002
5905,Josef-Kallscheuer-Str.,210,Sürth,21001.0,Sürth,50999,,,,
3795,Josef-Lammerting-Allee,305,Müngersdorf,30505.0,GE Müngersdorf,50933,0011,0025,0002,0050
5915,Josef-Linden-Weg,704,Gremberghoven,70403.0,Airport-Businesspark,51149,0003,0015,0010,0018
5938,Josef-Schwamborn-Str.,710,Wahnheide,71001.0,Wahnheide,51147,0001,0049,0002,0010
3641,Josef-Schwartz-Anlage,101,Altstadt/Süd,10102.0,Mauritius-Viertel,50676,,,,
4920,Josefstr.,706,Porz,70601.0,Porz-Mitte,51143,0003,0087,0002,0066
1672,Josef-Wirth-Str.,904,Holweide,90401.0,Holweide-West,51067,0001,0005,0002,0028
3812,Joseph-Roesberg-Platz,406,Ossendorf,40601.0,Ossendorf,50827,,,,
1673,Josephskirchplatz,501,Nippes,50101.0,Sechzig-Viertel,50733,0001,0013,,
1674,Josephskirchstr.,802,Kalk,80201.0,Kalk,51103,0001,0049,0002,0062
1675,Joseph-Stelzmann-Str.,303,Lindenthal,30302.0,Uni-Viertel,50937,0001,0007,0002,0014
1675,Joseph-Stelzmann-Str.,303,Lindenthal,30302.0,Uni-Viertel,50931,0009,0011,0018,0074
1676,Josephstr.,101,Altstadt/Süd,10106.0,Severins-Viertel,50678,0001,0047,0004,0042
3715,Joseph-Teusch-Str.,303,Lindenthal,30304.0,Hohenlind,50935,0001,0007,0002,0046
1677,Judengasse,103,Altstadt/Nord,10305.0,City,50667,,,,
1678,Judenkirchhofsweg,105,Deutz, , ,50679,0001,0001,,
1678,Judenkirchhofsweg,105,Deutz,10503.0,Hafen-Viertel,50679,,,0006,0006
4923,Judenpfad,207,Hahnwald,20701.0,Neu-Hahnwald,50996,0001,0093,0002,0076
1679,Jülicher Str.,102,Neustadt/Süd,10205.0,Komponisten-Viertel,50674,0001,0031,0006,0032
3639,Julio-Goslar-Str.,507,Bilderstöckchen,50705.0,GE Schlachthof-Nord,50739,,,0002,0002
1682,Julius-Bau-Str.,901,Mülheim,90103.0,Mülheim,51063,0003,0003,0002,0002
1683,Julius-Leber-Str.,506,Longerich,50602.0,Neu-Longerich,50739,0001,0031,0002,0024a
1684,Juliusstr.,901,Mülheim,90101.0,Stegerwald-Siedlung,51063,0001,0021,0002,0058b
1685,Jungbergerstr.,701,Poll,70102.0,Poll,51105,0003,0017,0018,0032
4924,Jungbluthgasse,306,Junkersdorf,30601.0,Junkersdorf,50858,0003,0013,0002,0032
4924,Jungbluthgasse,307,Weiden, , ,50858,,,,
1686,Jungbluthstr.,601,Merkenich,60103.0,Merkenich,50769,0001,0063,0046,0060
1687,Jungbornweg,906,Höhenhaus,90603.0,Höhenhaus,51061,0003,0017,0002,0030
1680,Jünkerather Str.,302,Sülz,30202.0,Sülz,50937,0001,0003,0002,0004a
1688,Junkersdorfer Str.,305,Müngersdorf,30502.0,Stadion,50933,0001,0001,,
3745,Jupp-Schmitz-Plätzchen,103,Altstadt/Nord,10305.0,City,50667,,,,
1681,Jüssenstr.,406,Ossendorf,40601.0,Ossendorf,50827,0001,0037,0002,0038
1689,Justinianstr.,105,Deutz,10501.0,Deutz,50679,0001,0025,,
1689,Justinianstr.,105,Deutz,10507.0,Köln-Arena,50679,,,0002,0016
1690,Juttaweg,907,Dünnwald,90703.0,Siedlung Klosterhof,51069,0001,0035,0002,0036
1693,Kaesenstr.,102,Neustadt/Süd,10202.0,Volksgarten-Viertel,50677,0001,0031,0004,0028a
1695,Kafkastr.,405,Bocklemünd/Mengenich,40504.0,Neu-Bocklemünd,50829,0001,0011,0002,0062
1696,Kaisersescher Str.,302,Sülz,30204.0,Kriel,50935,0001,0005,0002,0020
1697,Kaiserslauterer Str.,507,Bilderstöckchen,50701.0,Bilderstöckchen,50739,0001,0009,,
4930,Kaiserstr.,707,Urbach,70701.0,Urbach,51145,0001,0069,0002,0094
4930,Kaiserstr.,706,Porz,70603.0,Porz-Ost,51145,0075,0093,0194,0206
4930,Kaiserstr.,706,Porz,70605.0,GI Porz,51145,0095,0127,,
1698,Kaiserswerther Str.,507,Bilderstöckchen,50705.0,GE Schlachthof-Nord,50739,0001,0011,0002,0014
1699,Kaiser-Wilhelm-Ring,104,Neustadt/Nord,10402.0,Stadtgarten-Viertel,50672,0003,0029,0002,0040
1699,Kaiser-Wilhelm-Ring,104,Neustadt/Nord,10404.0,Media-Park,50672,0031,0043,0042,0050
1700,Kalkarer Str.,501,Nippes,50103.0,Nordpark,50733,0001,0025,0002,0008
1701,Kalker Hauptstr.,802,Kalk,80202.0,GE Kalk,51103,0051,0099,0022,0024
1701,Kalker Hauptstr.,802,Kalk,80201.0,Kalk,51103,0101,0327,0064,0296
1702,Kalk-Mülheimer Str.,802,Kalk,80201.0,Kalk,51103,0001,0173,0002,0210
1702,Kalk-Mülheimer Str.,802,Kalk,80202.0,GE Kalk,51103,0177,0259,,
1702,Kalk-Mülheimer Str.,802,Kalk,80204.0,Kalk-Nord,51103,,,0216,0216
1702,Kalk-Mülheimer Str.,902,Buchforst,90201.0,Buchforst,51065,0299,0359,0264,0318
1702,Kalk-Mülheimer Str.,902,Buchforst,90202.0,Siedlung Blauer Hof,51065,,,0320,0334
1702,Kalk-Mülheimer Str.,902,Buchforst,90201.0,Buchforst,51065,,,0362,0378
1702,Kalk-Mülheimer Str.,901,Mülheim,90102.0,Mülheimer Stadtgarten,51065,0407,0409,0386,0400
1703,Kalkweg,905,Dellbrück,90503.0,Blumen-Siedlung,51069,0001,0005,0002,0002
1703,Kalkweg,905,Dellbrück, , ,51069,0019,0019,,
3672,Kallbergstr.,610,Blumenberg,61001.0,Siedlung Blumenberg,50765,0001,0119,0022,0102
1704,Kalmünter Weg,906,Höhenhaus,90603.0,Höhenhaus,51061,0001,0021,0002,0026
4931,Kalscheurener Str.,206,Rondorf,20605.0,Güterverkehrszentrum Eifeltor,50997,0011,0031,0030,0030
1705,Kalscheurer Weg,205,Zollstock,20504.0,Zollstock,50969,0005,0041,0002,0012b
1705,Kalscheurer Weg,205,Zollstock,20502.0,Siedlung Südfriedhof,50969,0043,0065,0016,0088
1706,"Kalscheurer Weg,Weg R",205,Zollstock,20502.0,Siedlung Südfriedhof,50969,0001,0007,0002,0010
1707,"Kalscheurer Weg,Weg S",205,Zollstock,20502.0,Siedlung Südfriedhof,50969,0015,0049,0012,0026
3981,"Kalscheurer Weg,Weg ST",205,Zollstock,20502.0,Siedlung Südfriedhof,50969,0013,0023,0014,0016
1708,"Kalscheurer Weg,Weg T",205,Zollstock,20502.0,Siedlung Südfriedhof,50969,0009,0025,0012,0034
1709,"Kalscheurer Weg,Weg U",205,Zollstock,20502.0,Siedlung Südfriedhof,50969,0003,0017,0004,0026
1710,"Kalscheurer Weg,Weg V",205,Zollstock,20502.0,Siedlung Südfriedhof,50969,0001,0029,0004,0020
3982,"Kalscheurer Weg,Weg W",205,Zollstock,20502.0,Siedlung Südfriedhof,50969,0001,0021,0002,0006
3983,"Kalscheurer Weg,Weg Z",205,Zollstock,20502.0,Siedlung Südfriedhof,50969,,,0002,0006
1711,Kaltenbornweg,105,Deutz,10503.0,Hafen-Viertel,50679,0001,0017,0002,0020
1712,Kamekestr.,104,Neustadt/Nord,10402.0,Stadtgarten-Viertel,50672,0001,0039,0002,0030
1713,Kamerunstr.,501,Nippes,50102.0,Nippes,50733,0001,0015,0004,0024
4933,Kamillenweg,306,Junkersdorf,30601.0,Junkersdorf,50858,0001,0053,0002,0030
1691,Kämmergasse,101,Altstadt/Süd,10103.0,Cäcilien-Viertel,50676,0001,0001,0012,0022
1692,Kämpchensweg,305,Müngersdorf,30501.0,Alt-Müngersdorf,50933,0001,0099,0002,0096
1714,Kampgasse,803,Vingst,80303.0,Vingst,51107,,,0002,0044
1714,Kampgasse,803,Vingst,80302.0,Siedlung Vingst,51107,0003,0101,,
1715,Kampstr.,905,Dellbrück,90504.0,Strunden,51069,0001,0035,0006,0014
1716,Kannebäckerstr.,801,Humboldt/Gremberg,80104.0,Siedlung Humboldt,51105,0001,0023,0002,0070
1716,Kannebäckerstr.,105,Deutz, , ,50679,,,,
1717,Kantstr.,802,Kalk,80201.0,Kalk,51103,0001,0015,,
1717,Kantstr.,802,Kalk,80203.0,Technologie- und Industriepark Kalk-Süd,51103,,,0012,0036
4934,Kantstr. (Grengel),709,Grengel,70904.0,Neu-Grengel,51147,,,0004,0036
4935,Kantstr. (Weiden),307,Weiden,30702.0,Neu-Weiden,50858,0001,0011,0002,0024
4936,Kantstr. (Weiß),209,Weiß,20901.0,Neu-Weiß,50999,0001,0015,0002,0014
4937,Kapellenbitz,705,Eil,70502.0,Eil,51145,0003,0011,0002,0012
4938,Kapellenhofweg,307,Weiden,30703.0,Üsdorf,50859,0001,0013,0006,0040
1718,Kapellenstr.,802,Kalk,80201.0,Kalk,51103,0003,0053,0002,0028
1718,Kapellenstr.,802,Kalk,80203.0,Technologie- und Industriepark Kalk-Süd,51103,0057,0065,0040,0054
4939,Kapellenstr. (Rondorf),206,Rondorf,20603.0,Rondorf-West,50997,0001,0029,,
4939,Kapellenstr. (Rondorf),206,Rondorf,20601.0,Rondorf,50997,,,0002,0028
4939,Kapellenstr. (Rondorf),206,Rondorf,20604.0,Höningen,50997,0065,0123,0102,0110
4940,Kapellenweg,606,Pesch,60601.0,Pesch,50767,0001,0001,0004,0004
1719,Kapitelstr.,802,Kalk,80201.0,Kalk,51103,0001,0023,0004,0026
1721,Kappelsweg,405,Bocklemünd/Mengenich,40503.0,GE Bocklemünd-Ost,50829,0001,0001,,
1721,Kappelsweg,405,Bocklemünd/Mengenich,40502.0,Mengenich,50829,0025,0037,,
1722,Kapuzinerstr.,505,Weidenpesch,50502.0,Weidenpesch,50737,0001,0007,,
1722,Kapuzinerstr.,505,Weidenpesch,50504.0,Merheim (lrh.),50737,,,0002,0022
3613,Kardinal-Frings-Str.,103,Altstadt/Nord,10308.0,Andreas-Viertel,50668,0001,0007,0002,0012
3951,Kardinal-Höffner-Platz,103,Altstadt/Nord,10305.0,City,50667,0001,0001,,
1723,Kardorfer Str.,204,Raderthal,20401.0,Volkspark-Siedlung,50968,0001,0045,,
4943,Karinweg,702,Westhoven,70202.0,Westhoven,51149,,,0002,0008
1724,Karl-Arnold-Str.,809,Neubrück,80901.0,Bungalow-Siedlung,51109,0001,0057,0002,0036
1725,Karl-Begas-Str.,301,Klettenberg,30101.0,Klettenberg,50939,0001,0003,0002,0026
1726,Karl-Benz-Str.,403,Bickendorf,40302.0,Westend,50827,0001,0011,0002,0010
3632,Karl-Berbuer-Platz,101,Altstadt/Süd,10106.0,Severins-Viertel,50678,0001,0009,0002,0006
1727,Karl-Bosch-Str.,403,Bickendorf,40302.0,Westend,50827,0001,0033,0002,0018
3666,Karl-Höher-Str.,904,Holweide,90403.0,Siedlung Wichheim,51067,0001,0047,0002,0070
3834,Karl-Hüntemann-Weg,808,Rath/Heumar,80802.0,Rath,51107,,,0002,0014
4944,Karl-Kaulen-Str.,308,Lövenich,30801.0,Lövenich,50859,0003,0037a,0002,0058
3650,Karl-Korn-Str.,101,Altstadt/Süd,10106.0,Severins-Viertel,50678,0001,0009,0002,0018
3996,Karl-Küpper-Platz,103,Altstadt/Nord,10305.0,City,50667,,,,
1728,Karl-Marx-Allee,603,Seeberg,60301.0,Seeberg-Nord,50769,0001,0085,0002,0076
1730,Karlrobert-Kreiten-Str.,406,Ossendorf,40604.0,Ossendorf-Nord,50827,0001,0075,0002,0076
3748,Karl-Schüßler-Str.,808,Rath/Heumar,80802.0,Rath,51107,0001,0001,0002,0012
1732,Karl-Schwering-Platz,303,Lindenthal,30301.0,Alt-Lindenthal,50931,0001,0005,0002,0006
1733,Karl-Siebert-Str.,905,Dellbrück,90502.0,Hagedorn,51069,0001,0011,0002,0018
1734,Karlsruher Str.,902,Buchforst,90201.0,Buchforst,51065,,,0002,0030
1735,Karlstr.,105,Deutz,10501.0,Deutz,50679,0007,0025,0024,0048
4945,Karlstr. (Porz),706,Porz,70601.0,Porz-Mitte,51143,,,0006,0032
4946,Karlstr. (Rodenkirchen),208,Rodenkirchen,20805.0,Rodenkirchen,50996,0005,0015,0002,0028a
1736,Karl-Theodor-Str.,901,Mülheim,90103.0,Mülheim,51063,0001,0011,0002,0016
1737,Karl-Winkler-Weg,305,Müngersdorf,30502.0,Stadion,50933,,,,
4926,Kärntner Weg,306,Junkersdorf,30601.0,Junkersdorf,50858,0001,0003,0002,0006
1738,Karolingerring,102,Neustadt/Süd,10201.0,Südstadt,50678,0001,0031,0002,0040
1739,Kartäusergasse,101,Altstadt/Süd,10106.0,Severins-Viertel,50678,0005,0011,0002,0038
1740,Kartäuserhof,101,Altstadt/Süd,10106.0,Severins-Viertel,50678,0001,0045,0002,0052
1741,Kartäuserwall,101,Altstadt/Süd,10106.0,Severins-Viertel,50678,0001,0065,0002,0028e
1741,Kartäuserwall,101,Altstadt/Süd,10104.0,Pantaleons-Viertel,50676,,,0030,0040
1742,Kasemattenstr.,105,Deutz,10501.0,Deutz,50679,0001,0005,0002,0020
1743,Kasernenstr.,802,Kalk,80201.0,Kalk,51103,0005,0009,0002,0014
1743,Kasernenstr.,802,Kalk,80204.0,Kalk-Nord,51103,0013,0015,,
1744,Kasinostr.,101,Altstadt/Süd,10101.0,Kapitol-Viertel,50676,0001,0007,0002,0010
1745,Kaspar-Düppes-Str.,904,Holweide,90402.0,Holweide-Ost,51067,0001,0035,0002,0038
1745,Kaspar-Düppes-Str.,904,Holweide,90404.0,Schweinheim,51067,,,0042,0058
1745,Kaspar-Düppes-Str.,904,Holweide,90405.0,Iddelsfeld,51067,0045,0057,,
1746,Kasparstr.,104,Neustadt/Nord,10403.0,Agnes-Viertel,50670,0001,0049,0002,0026
4949,Kasparstr. (Porz),706,Porz,70603.0,Porz-Ost,51149,0001,0065,0010,0092
1747,Kasselberger Weg,601,Merkenich,60103.0,Merkenich,50769,0003,0003,0002,0016
1747,Kasselberger Weg,601,Merkenich,60107.0,Kasselberg,50769,0101,0127,,
1747,Kasselberger Weg,601,Merkenich,60101.0,Rheinkassel,50769,0151,0181,0100,0122
1748,Kasseler Str.,902,Buchforst,90202.0,Siedlung Blauer Hof,51065,0001,0027,,
1748,Kasseler Str.,902,Buchforst,90201.0,Buchforst,51065,,,0002,0028
1749,Kasseler Weg,602,Fühlingen, , ,50769,,,0052,0078
1749,Kasseler Weg,602,Fühlingen,60201.0,Fühlingen,50769,0073,0109,0086,0108
1750,Kastanienallee,202,Marienburg,20201.0,Marienburg,50968,0003,0029,0002,0020
4950,Kastanienweg,707,Urbach,70701.0,Urbach,51145,0001,0029,0008,0030
1751,Kastellsgäßchen,103,Altstadt/Nord,10306.0,Martins-Viertel,50667,,,,
5751,Kästnerstr.,606,Pesch,60601.0,Pesch,50767,0001,0087,0002,0084
1370,Katharina-Henot-Str.,402,Neuehrenfeld,40202.0,Neuehrenfeld,50823,0001,0007,0002,0010
3905,Katharina-Schauberg-Promenade,102,Neustadt/Süd,10201.0,Südstadt,50678,,,,
1752,Katharinengraben,101,Altstadt/Süd,10106.0,Severins-Viertel,50678,0005,0005,0002,0004
1753,Katharinenhof,101,Altstadt/Süd,10106.0,Severins-Viertel,50678,0001,0005,0002,0008
3655,Katharinenkammerweg,905,Dellbrück, , ,51069,,,0002,0004
4952,Katharinenpforte,703,Ensen,70301.0,Ensen,51149,,,0002,0008
4953,Katharinenstr.,211,Godorf,21101.0,Godorf,50997,0001,0009,0004,0016
3809,Käthe-Kernchen-Str.,406,Ossendorf,40601.0,Ossendorf,50827,0001,0071a,0002,0044
4927,Käthe-Kollwitz-Str. (Esch),607,Esch/Auweiler,60701.0,Esch,50765,0001,0045,0002,0034
4928,Käthe-Kollwitz-Str. (Rodenkirchen),208,Rodenkirchen,20802.0,Künstler-Viertel,50999,0001,0013,0004,0016
3947,Käthe-Paulus-Str.,406,Ossendorf,40603.0,Siedlung Butzweiler Hof,50829,,,0002,0174
1754,Kattenbug,103,Altstadt/Nord,10308.0,Andreas-Viertel,50667,0001,0001,0002,0022
1755,Katterbacher Weg,906,Höhenhaus,90603.0,Höhenhaus,51061,0001,0003,0002,0016
1756,Kattowitzer Str.,903,Buchheim,90301.0,Siedlung Buchheim,51065,0029,0047,0004,0060
3521,Katzbachweg,609,Chorweiler,60902.0,Siedlung Chorweiler-Nord,50765,,,,
1757,Katzenbuschweg,906,Höhenhaus,90603.0,Höhenhaus,51061,0001,0027,0010,0024
1758,Katzengasse,504,Niehl,50404.0,Niehl,50735,0001,0041,0002,0038
1694,Käulchensweg,701,Poll,70104.0,GE Poller Kirchweg,51105,0003,0005,,
1694,Käulchensweg,701,Poll,70102.0,Poll,51105,0031,0055,0002,0054
1759,Kaygasse,101,Altstadt/Süd,10103.0,Cäcilien-Viertel,50676,0001,0007,0002,0002
4954,Keimergasse,714,Zündorf,71401.0,Zündorf,51143,0001,0025,0002,0020
1760,Keimesstr.,608,Volkhoven/Weiler,60802.0,Weiler,50765,0001,0029,0002,0040
1761,Kekulestr.,909,Flittard,90903.0,Bayer-Siedlung,51061,0001,0023,0002,0004
3943,Kelberger Hof,301,Klettenberg,30101.0,Klettenberg,50937,0001,0019,0002,0006
1762,Kelheimer Str.,804,Höhenberg,80402.0,Höhenberg-Süd,51103,0001,0007,0002,0012
1763,Kellereiweg,808,Rath/Heumar,80802.0,Rath,51107,0001,0021,0004,0028
4957,Kellereiweg (Eil),705,Eil,70502.0,Eil,51145,0001,0035,0002,0064
4958,Keltenstr.,208,Rodenkirchen,20806.0,Schillingsrott,50996,0001,0017,0004,0026
4956,Kelvinstr.,207,Hahnwald,20702.0,GE Rodenkirchen,50996,0001,0015,0004,0024
1764,Kelzenberger Weg,604,Heimersdorf,60401.0,Heimersdorf-Nord,50767,0001,0047,0002,0022
6043,Kemenatenweg,711,Wahn, , ,51147,0003,0015,0002,0014
1765,Kempener Str.,501,Nippes,50102.0,Nippes,50733,0001,0135,0002,0092
1765,Kempener Str.,501,Nippes,50106.0,Siedlung Ausbesserungswerk Nippes,50733,0139,0147,,
1766,Kemperbachstr.,905,Dellbrück,90501.0,Dellbrück,51069,0001,0061,0002,0062
1767,Kempfelder Str.,302,Sülz,30204.0,Kriel,50935,0017,0049,0002,0038
1768,Kendenicher Str.,205,Zollstock,20502.0,Siedlung Südfriedhof,50969,0081,0087,0002,0084a
6068,Kennedyplatz,105,Deutz,10501.0,Deutz,50679,0001,0001,0002,0002
1769,Kennedy-Ufer,105,Deutz,10501.0,Deutz,50679,0001,0001,0002,0002a
1769,Kennedy-Ufer,105,Deutz,10505.0,Messe,50679,,,0004,0024
1769,Kennedy-Ufer,105,Deutz, , ,50679,0011,0011,,
1770,Keplerstr.,401,Ehrenfeld,40104.0,Vogelsanger Str.,50823,0001,0051,0002,0054
5906,Kerkrader Str.,211,Godorf,21102.0,GI Godorf-Ost,50997,,,,
5906,Kerkrader Str.,212,Immendorf, , ,50997,,,,
5906,Kerkrader Str.,213,Meschenich, , ,50997,,,,
1771,Kermeterstr.,303,Lindenthal,30303.0,Neu-Lindenthal,50935,0001,0021,0002,0024
1772,Kerpener Str.,303,Lindenthal,30302.0,Uni-Viertel,50937,0001,0103,0002,0030
1772,Kerpener Str.,303,Lindenthal,30302.0,Uni-Viertel,50931,,,0032,0060
1772,Kerpener Str.,303,Lindenthal,30302.0,Uni-Viertel,50937,,,0062,0068
1772,Kerpener Str.,303,Lindenthal,30303.0,Neu-Lindenthal,50937,0103a,0113,,
3923,Kesselhausstr.,501,Nippes,50106.0,Siedlung Ausbesserungswerk Nippes,50733,0001,0001,,
4960,Kettelerstr.,213,Meschenich,21301.0,Alt-Meschenich,50997,0001,0023a,0004,0026
1773,Kettengasse,103,Altstadt/Nord,10309.0,Apostel-Viertel,50672,0001,0007,0002,0024
1774,Keupstr.,901,Mülheim,90103.0,Mülheim,51063,0009,0013,0002,0030
1774,Keupstr.,901,Mülheim,90104.0,Keupstr.,51063,0019,0123,0032,0128
1775,Keussenstr.,303,Lindenthal,30305.0,Deckstein,50935,0001,0021,0002,0016
1776,Kevelaerer Str.,501,Nippes,50103.0,Nordpark,50733,0001,0015,0002,0016
1777,Kiebitzweg,404,Vogelsang,40402.0,Siedlung Vogelsang,50829,0001,0001,,
1778,Kiefernpfad,604,Heimersdorf,60403.0,Baum-Siedlung,50767,0001,0007,,
4962,Kiefernweg (Grengel),709,Grengel,70901.0,Alt-Grengel,51147,0001,0029b,0002,0030
4963,Kiefernweg (Junkersdorf),306,Junkersdorf,30602.0,Stadtwaldsiedlung,50858,0001,0017,0002,0010
4961,Kiefernweg (Pesch),606,Pesch,60601.0,Pesch,50767,0001,0023,,
4964,Kiefernweg (Rodenkirchen),208,Rodenkirchen,20801.0,Michaelshoven,50999,0001,0067,0004,0052
1779,Kieler Str.,901,Mülheim,90102.0,Mülheimer Stadtgarten,51065,0003,0035,0002,0056
1780,Kielsweg,701,Poll,70102.0,Poll,51105,0001,0027,0002,0038
1781,Kieppemühler Str.,903,Buchheim,90302.0,Buchheim,51065,0001,0029,0002,0030
1782,Kierberger Str.,205,Zollstock, , ,50969,,,0002,0002
1782,Kierberger Str.,205,Zollstock,20503.0,Vorgebirgspark,50969,0015,0025,,
1782,Kierberger Str.,205,Zollstock,20504.0,Zollstock,50969,,,0022,0024
1783,Kierkegaardstr.,803,Vingst,80301.0,Schweden-Siedlung,51107,0001,0027,0002,0014
5829,Kiesgrubenweg,207,Hahnwald, , ,50996,,,,
5829,Kiesgrubenweg,212,Immendorf,21102.0,GI Godorf-Ost,50997,,,,
1784,Kieskaulerweg,806,Merheim,80601.0,Merheim,51109,0011,0031,0006,0028
1784,Kieskaulerweg,806,Merheim,80603.0,Merheim-Mitte,51109,0053,0173,0060,0170
3657,Kiesweg,506,Longerich,50605.0,Lützlongerich,50739,,,0002,0008
3657,Kiesweg,605,Lindweiler,60502.0,GE Lindweiler,50767,0025,0029,0012,0014
3962,Kindergartengässchen,205,Zollstock,20502.0,Siedlung Südfriedhof,50969,,,,
4966,Kinkelsmaarweg,714,Zündorf,71401.0,Zündorf,51143,0001,0035,0002,0030
1785,Kinkelstr.,303,Lindenthal,30303.0,Neu-Lindenthal,50935,0001,0021,0004,0026
1786,Kinzigweg,906,Höhenhaus,90603.0,Höhenhaus,51061,0003,0051,0008,0048
1787,Kirburger Weg,605,Lindweiler,60501.0,Lindweiler,50767,0001,0155,0002,0084
